Code	Nom
C0327060	cuban treefrog
C0327060	osteopilus septentrionalis
C0326967	tadpoles
C0326967	tadpole
C0326967	larval amphibian
C0086949	salamander
C0086949	salamanders
C0327030	texas cliff frog
C0327068	hylorana nicobariensis
C0327068	nicobar cricket frog
C0327068	hylorana nicobariensis stoliczka , 1870
C0327068	hylarana nicobariensis
C0327068	cricket frog
C0327068	rana nicobariensis
C0327068	amnirana nicobariensis
C0327084	rhacophorus
C0326983	eastern tiger salamander
C0327045	family rhinodermatidae
C0033614	proteidae
C0033614	waterdogs
C0033614	family proteidae
C0327048	family dendrobatidae
C0327000	red salamander
C0327000	spelerpes rubra
C0327000	mycetoglossus ruber
C0327000	pseudotriton ruber
C0327000	salamandra rubra
C0327000	molge rubra
C0327000	geotriton rubra
C0327000	bolitoglossa rubra
C0327000	triton rubra
C0327037	woodhouse 's toad
C0327037	anaxyrus woodhousii
C0327037	bufo woodhousei
C0327037	bufo woodhousii
C0327037	rocky mountain toad
C0327037	bufo woodhousii girard , 1854
C0327072	paradox frog
C0002429	amblystoma
C0002429	ambystoma
C0002429	big salamanders
C0002429	axolotl
C0002429	amblystomas
C0002429	genus ambystoma
C0002429	ambystomas
C0002429	mole salamanders
C0327061	giant treefrog
C0327061	phyllomedusa bicolor
C0327004	olm
C0327004	european blind salamander
C0327062	dryophytes versicolor
C0327062	hyla versicolor
C0327062	eastern gray treefrog
C0327062	gray treefrog
C0086705	newt
C0086705	newts
C0327027	brazilian horned frog
C0327069	ornate chorus frog
C0327014	sirunam toad
C0327014	pipa pipa
C0327040	green toad of europe
C0327049	green and black poison - arrow frog
C0327049	golden poison - arrow frog
C0327049	phyllobates auratus
C0327049	gold arrow - poison frog
C0327049	arrow - poison frog
C0327049	dendrobates auratus
C0006354	genus bufo
C0006354	bufo toad
C0006354	bufo
C0006354	torrentophryne
C0006354	bufos
C0006355	toads , argentine
C0006355	toad , argentine
C0006355	argentine toads
C0006355	rhinella arenarum
C0006355	chaunus arenarum
C0006355	argentine toad
C0006355	bufo arenarum hensel , 1867
C0006355	bufo arenarum
C0327056	stelzner 's atelopus
C0327052	phyllobates
C0327052	genus phyllobates
C0327064	hyla regilla
C0327064	pseudacris regilla
C0327064	pacific treefrog
C0326997	black - bellied salamander
C0327086	narrow - mouthed toad
C0327086	microhyla
C0006356	rana bufo
C0006356	bufo bufo
C0006356	european common toad
C0006356	common toad
C0006356	common toads
C0006356	toads , common
C0006356	rana bufo linnaeus , 1758
C0006356	european toad
C0006356	common european toad
C0006356	toad , common
C0327015	alytidae
C0327015	family discoglossidae
C0327015	discoglossidae
C0327055	genus atelopus
C0327055	atelopid frog
C0327055	atelopus
C0034655	european common frog
C0034655	rana temporaria
C0034655	european frog , common
C0034655	common frog , european
C0034655	frog , european common
C0034655	frog , common european
C0034655	common european frog
C1304607	clawed frog
C1304607	xenopus sp .
C0327023	leaf frog
C0327023	megophrys
C0036062	salamandra
C0036062	salamandras
C0326989	pleurodeles ( tylototriton ) verrucosus
C0326989	tylototriton verrucosus anderson , 1871
C0326989	tylototriton verrucosus
C0326989	glossolega verrucosa
C0326989	crocodile salamander
C0326989	triturus ( tylototriton ) verrucosus
C0326989	orange - striped newt
C0326989	himalayan newt
C0326989	pleurodeles verrucosus
C1704325	rana bramadora
C0326977	chinese giant salamander
C0034662	true frogs
C0034662	frog , true
C0034662	family ranidae
C0034662	frogs , true
C0034662	true frog
C0034662	ranidae
C0327020	north american spadefoot toad
C0327020	scaphiopus
C0327046	cycloramphidae
C0327046	hylodinae
C0327046	mouth - breeding frog
C0042058	urodela
C0042058	caudata
C0042058	order caudata
C0042058	order caudata - salamander
C0327038	southern toad
C0006357	toads , marine
C0006357	toads , giant
C0006357	rhinella marinus
C0006357	giant toads
C0006357	giant toad
C0006357	rhinella marina
C0006357	toad , marine
C0006357	marine toad
C0006357	chaunus marinus
C0006357	bufo marinus
C0006357	toad , giant
C0006357	cane toad
C0006357	marine toads
C0006357	rana marina
C0327018	scaphiopus multiplicata
C0327018	scaphiopus multiplicatus
C0327018	desert spadefoot toad
C0327018	new mexico spadefoot toad
C0327018	spea hammondii multiplicata
C0327018	spadefoot toad
C0327018	spea multiplicata
C0327018	southern spadefoot toad
C0003459	anura
C0003459	frogs
C0003459	frogs and toads
C0003459	anuras
C0003459	toads and frogs
C0003459	frog
C0003459	salientia
C0003459	order anura
C0003459	toads frogs
C0003459	anurans
C0003459	frogs toads
C0034652	rana esculenta synklepton
C0034652	rana kl . esculenta
C0034652	rana lessonae x rana ridibunda
C0034652	rana klepton esculenta
C0034652	pelophylax kl . esculentus
C0034652	pelophylax esculentus
C0034652	pelophylax klepton esculentus
C0034652	rana esculenta
C0034652	rana synklepton esculenta
C0326996	tennessee cave salamander
C0034653	rana pipiens
C0034653	leopard frogs
C0034653	leopard frog
C0034653	pantherana pipiens
C0034653	r pipiens
C0034653	frogs , leopard
C0034653	northern leopard frog
C0034653	frog , leopard
C0034653	lithobates pipiens
C0327031	greenhouse frog
C0327083	polypedates
C0327022	scaphiopus holbrooki
C0327022	rana holbrookii harlan , 1835
C0327022	eastern spadefoot toad
C0327022	scaphiopus holbrookii
C0327022	rana holbrookii
C0327079	giant frog
C0326969	family caeciliidae - caecilian
C0327028	dominican frog
C1527389	salientia
C1527389	salientias
C1527389	order salientia
C1527389	order salientia - frog and / or toad
C0032235	pleurodeles
C0032235	pleurodele
C0006358	toads , true
C0006358	family bufonidae
C0006358	toads
C0006358	true toad
C0006358	toad
C0006358	bufonidae
C0006358	toad , true
C0006358	true toads
C0327034	american toad
C0327034	bufo americanus
C0327034	bufo americanus holbrook , 1836
C0327034	anaxyrus americanus
C0327080	family rhacophoridae
C0002668	amphibian
C0002668	ectotherm , amphibian
C0002668	amphibians
C0002668	class amphibia
C0002668	amphibia
C0002668	cold - blooded amphibian animal
C0002668	cold - blooded animal , amphibian
C0326986	california newt
C0326986	taricha torosa
C0327050	genus dendrobates
C0327050	dendrobates
C0327057	family hylidae
C0327057	hylidae
C0036063	salamandridae
C0036063	family salamandridae
C0327081	hyperolius horstockii
C0327081	yellow - striped reed frog
C0327081	eucnemis horstokii
C0327081	arum frog
C0327081	hyla horstockii
C0327081	rappia horstockii
C0327029	leptodactylus pentadactylus
C0327029	south american bullfrog
C0327029	smokey jungle frog
C0327029	smoky jungle frog
C0327019	european spadefoot toad
C0327019	pelobates
C0326993	family plethodontidae
C0327002	woodland salamander
C0327002	plethodon
C0327002	slimy salamanders
